Batman vs Superman	batman banaam superman	batman vs superman
I would agree though that it was not as good as man of steel. The plot line of that was amazing!	haalaanki main iss baat seey sahmat huun kii yeh steel maine jitna achchha naheen thaa. uska kathaanak adbhut thaa!	mein bhi maantha hoon, ki voh ache nahi hein us man of steel ke tarah.. plot line tho amazing hein
Ben Affleck is the only actor I recognize great plot very harsh critcs	bayne affleck ekmatra aise abhineta hain jinhen main mahaan kathaanak aur kathor alochakon key roop mein pahachaantaa huun	sirf ben affleck hi yek actor jo ache tarah recognize kiya jo harsh critcs se
I agree. I didn't completely understand why Batman and Superman fought though.	main sahmat huun. haalaanki mujhe poori tarah samajh naheen aayaa kii batman aur superman kyon ladey.	mein maantha hoon... muje yeh understand nahi hota ki kyon batman aur superman aapas mein fight karthe
Rotten Tomatoes list it as 27%and average with a 4.9 out of 10. The critcs must be weird. Yeah i couldnt figure out the fight but think it was because superman accidentally killed bruce waynes dad	rotten tomatose ney ise 27% aur 10 mein seey 4.9 key saath ausat key roop mein soochibaddh kiya haye. aalochak ajib honge. haan, main ladaai kaa pataa naheen lagaa sakaa lekin mujhe lagata haye kii aisaa isaliye huaa kyonki superman ney galati seey broose weins key pitaa koo maar daala thaa	rotten tomatoes neh 27% di aur uska average tho 4.9/10 tha... critics tho weird hein... haan, muje bhi is fight ko figure out nahi kar paa raha hoon, lekin kuch samaj aarahi hein ki kyonki superman ko acceidentally bruce wayne ka dad maar daala
I thought it was worth a meteoritic score more than 44. That seemed low! That makes sense. I would be mad if someone tried to kill one of my family members.	maine socha kii yeh 44 seey adhik key ulkapind score key laayak thaa. yeh cumm lugg rhaa thaa! yeh samajh aataa haye. aggar koee merey parivaar key kissy sadasya koo maarne kii koshish karega tou main pagal hoe jaaoonga.	muje laga ki yeh worth meteroitic score 44 ke se upper hein.. lekin low nikla.. mein tho mad hota agar koi mera family ko aise koi maar dethe
hello?	namaste?	hello
Yeah me to it did also have a unique spin on character of Lex Luthor who just seems to go doown hill the whole movie. I like how the critic talked about Lex (who is supermans arch enemy ) because he compared him to the joker and riddler (who are batmans arch enemies	haan, isamen lakes luther key charitra parr ack anokha spin bhee thaa joe poori film mein bahut hii nirashajanak lagata haye. mujhe pasand aayaa kii aalochak ney lakes (joe superman kaa kattar dushman haye) key baare mein baat kii kyonki usane usaki tulana joker aur riddler (joe batman key kattar dushman hain) seey kii	yeh tho unique spin hey lex luthor ka character ko jo whole movies mein nazar aathe.. muje tho unka bol pasand hein, jaise critic ko lex ke saath bola kyon ki dono aapas me compared kar rahe the ki kon joker aur riddler hein
Then he tops off the crazy part by comparing him to Mark Zuckerburg.	phir vaha maark jukerberg seey tulana karke pagalpan kii hudd taka aage badh jaataa haye.	fir donon compare karthe karthe crazy hote aur mark zuckerburg tak pahun jaathe
Ohh. I liked that too. I like how they always try to biring in the government official s	oh. mujhe vaha bhee pasand aayaa. mujhe pasand haye kii kaise way hamesha sarkari adhikaariyon koo laane kii koshish karate hain	acha.. muje bhi pasand hein.. muje tho voh pasand hein jab government official ko yaha laane ke try kar rahe they
Yeah im still here just slow typer	haan, main abhee bhee yahaan huun, buss dheema typer huun	haan mein yahi hi hoon, mein thoda slow typer hoon
Do you like batman or superman better in the movie?	kyaa aapako film mein batman yaa superman jyada pasand haye?	kya aapko is movie mein batman ya superman pasand hein?
Actually superman	darasal superman	actually superman
How bout u	tumhare baare mein kyaa	thera kya soch hai
I grew up watching the justice league cartoons in thelate 70s and early 80s in which alll the superheros worked together.	main 70 key dashak key anta aur 80 key dashak kii shuruat mein justice leag key cartoon dekhkar badaa huaa huun, jisamen sabhi superheiro ney ack saath kaam kiya thaa.	mai 70 aur 80s ke justice league cartoon ko dekthey huye bada huva hun jis mai sabhi superheros sath me kaam karthe the
I love batman	mujhe batman pasand haye	mujhe batman pasand hai
He is so mysterious	vaha bahut rahasyamay haye	wo bohuth ysterious hai
Sorta ironic that they become enemies	yeh cassie vidambana haye kii way dushman bunn jaate hain	ye ironic hai ki wo dushman ban gaye
Yes he is very mysterious	haan vaha bahut rahasyamay haye	haan wo mysterious hai
It is. Its not what I expected at all	yeh haye. yeh bilkul vaisi naheen haye jisaki mujhe aasha thee	ye hai.  jo maine expect kiya tha who ye nahi hai
I expected more like the avengers where a bunch of heroes work together	main avengers kii tarah adhik ummeed kartaa huun jahaan nayakon kaa ack samooh ack saath kaam kartaa haye	main ise kuch avengers ke jaise expect kiya that jis may kuch heroes saath mai kaam karthe hai
I don't really like that they are enimies	mujhe vaastav mein yeh pasand naheen haye kii way dushman hain	way dusman hai ye mujhe bilkul pasand nahi hain
Especially to the point where batman was going to kill superman	visheshkar usa bindu taka jahaan batman superman koo maarne jaa rhaa thaa	khas kar ke jab batman superman ko marne wala tha
Me either but superman pretty much started it the article says clark kent was trying to make bruce wayne and batman look bad thru his news articles	lekh mein kahaa gayaa haye kii maine yaa tou superman ney hii isaki shuruat kii thee, lekin clark kent apane samachar lekhon key jariye broose wein aur batman koo kharab dikhaane kii koshish curr rahey they.	main bhi but superman ne ye starty kiya, article me clark kent bruce wayna aur batman ko bura dikhane ki koshish kar raha hai
You know though to be honest if you look at the way the world is today so full of bad it makesperfect sense in a world view to have them as enemies.	haalaanki, aap jaanate hain kii imandar honey key liye aggar aap dekhein kii duniya aaj itani buri tarah seey bharee hui haye kii duniya kii drishti seey unhein dushman key roop mein rakhna bilkul uchit haye.	tum jaante ho to be honest agar duniya ko aise dekhoge jaise abhi hai to unka dushman hona makes perfect sense
I guess so. They do have polar opposite personalities. One is a humble farm boy and the other is a rich executive	mujhe bhee aisaa hii lagata haye. unake paas dhruviya vipareet vyaktitva hain. ack vinamra kisan ladka haye aur doosara ack ameer kaaryakaari haye	I guess so. Unki bilkul polar opposite personalities hai. Ek to humble farm boy hai dusra ek rich executive
I could see why they clash in that aspect, but I guess I don't imagine them interacting very much in superhero world.	main dekh sakata huun kii way usa pahalu mein kyon takaraate hain, lekin mujhe lagata haye kii main unhein superheiro kii duniya mein bahut adhik baatchit karane kii kalpana naheen kartaa.	Main dekh sakta hu ke us aspect me kyu clash karege but main superhero world me jyada interact karte hue imagine nahi karta.
It says in the 3rd part that at supermans funeral that bruce way e apol9gizes to lois lane saying that he failed superman	teesare bhaag mein kahaa gayaa haye kii superman key antim sanskar mein broose wein ney lois laine seey maafi maangate hue kahaa kii vaha superman koo whiffle curr diyaa.	Aisa bolte hai ke 3rd part me superman ke funeral k dauran bruce lois lane se maafi mangta hai ye bolte hue k he failed superman
DUUHHHH well yeah he failed him if he killed him lol	duuhhhh achchha haan, aggar usane usey maar daala tou vaha asafal hoe gayaa hahaha	DUHHHHH well han agar tumne use maar diya matlab you failed him lol
I would feel like if I failed someone if I let them die too. Haha. I like the mysterious dirt levitating though	aggar main kissy koo bhee marane duun tou mujhe aisaa lagega jaise maine kissy koo asafal curr diyaa haye. haaha. haalaanki mujhe udatee hui rahasyamayi gandagi pasand haye	Mujhe bhi aisa lagega k I failed someone agar maine unhe marne diya. haha, mujhe dhool ka  mysterious levitate karna accha laga
Haha	haaha	Haha
Thats what I was thinking	thheek vahee baat merey munn mein aaa rahee thee	Main bhi yahi soch raha hai
Little humor there	vahaan thodaa haasy	Thoda humor waha
Have u seen this movie	kyaa aapane yeh film dekhi haye?	Tumne movie dekhi hai
No have you? is that the end?	naheen aap hain? kyaa yeh anta haye?	No have you? woh end hai kya?
I can't tell	main naheen bataa sakata	bata nahi sakta
Oh yeah. It is.	arey haan. yeh haye.	Arre haan. It is.
I wonder if there will be a sequel	mujhe ashcharya haye kii kyaa koee seekwal hoga	Uska seqeul hoga kya I wonder
Yes watched it 3 times its a tearjerker for me when superman dies	haan, maine ise teen baar dekhaa, jaba superman marr jaataa haye tou yeh merey liye rula dene vaali baat haye	Haan maine teen baar dekhi its a tearjerker for me jab superman marta hai
I feel like good superhero movies need sequels	mujhe lagata haye kii achchi superheiro filmon key seekwal kii jarurat haye	Mujhe lagta hai acchi superhero movies ke sequel hone chahiye
I dunno could be a sequel	mujhe naheen pataa kii iska seekwal bhee bunn sakata haye	Could be a sequel pata nahi mujhe
Like how superman didnt really die he just hibernated til he found out a way to smooth it over with batman	jaise kii superman vaastav mein maraa naheen thaa, vaha taba taka sheetnidra mein padaa rhaa jaba taka usey batman key saath ise thheek karane kaa koee tarika naheen mill gayaa	Jaise superman asliyat mein mara nahi tha usne bas hibernate kiya tha til he found out a way to smooth it over with batman
Hi!	namaste!	hi
Have you seen Real Steel?	kyaa aapane real steel dekhi haye?	kya tumne real steel dekhi
No, haven't seen it. Have you?	naheen, naheen dekhaa. aapke paas?	nahi deki kya tumne dekhi
No i haven't	naheen, maine naheen kiya	nahi maine nahi dekhi
It's a sci-fi movie and i don't typically watch those	yeh ack vigyaan-faaee film haye aur main aam taur parr ise naheen dekhta	yah sci-fi moivehai mai eashi movi pasand nahi karta
Not sure it's that good. It has a score of 59% on Rotten Tomatoes.	yakeen naheen hotaa kii yeh utana achchha haye. rotten tomatose parr iska score 59% haye.	sayad utni achi na ho ,rottten tomatoes ne ieshe 59% score diye hai
That's what I was thinking also	main bhee yahee soch rhaa thaa	mai bhi yahi soch ta hu
Actually, I kind of like sci-fi, but I'm picky.	darasal, mujhe science-fiction pasand haye, lekin main nakchadha huun.	vaise mai sci-fi pasand karta hu lakin mai picky hu
Yes I can agree with that it depends for me	haan, main isase sahmat hoe sakata huun kii yeh merey liye nirbhar kartaa haye	mai isse agree kar sakta hu yah mujh par bhi depend karta hai
This one sounds more like an action flick in a sci-fi setting.	yeh ack vigyaan-faaee setting mein ack action flick kii tarah lagata haye.	ish moive ki sound like action flick jaise hai
ah that would make sense	aaha, iska koee matlab hoga	wah ye yek bat hai
it also has sports?	isamen khel bhee haye?	yeh sports ka hein?
I thought more sci-fi because it was also a twilight zone episode	maine adhik vigyaan-kalpana key baare mein socha kyonki yeh ack twilight zone episode bhee thaa	scifi ka, kyon ki isme twilight zone ka episode bhi hein
But the "Rocky with Robots" line makes me doubt that I would like it.	lekin "rockie ​​vid robots" line seey mujhe sandeh hotaa haye kii main ise pasand karunga.	lekin rocky with robots tho muje doubt hein,
I didnt catch that but I'm with you	main usey samajh naheen paaya lekin main aapke saath huun	muje kuch samaj nahi aaya lekin mein samajne ke koshish karunga
I've never seen any Rocky's either	maine kabhi koee rockie bhee naheen dekhaa	rocky tho mein kahi dekha nahi hein
And I didn't know it was a Twilight Zone episode.	aur mujhe naheen pataa thaa kii yeh twilight zone episode thaa.	aur muje twilight zone episode ke baare mein tho kuch patha nahi hein
Ha! Me neither. Haven't seen the Rocky movies.	haa! naa hii main. rockie filmein naheen dekhin.	muje bhi... rocky movies dekha nahi hey
That's kind of odd to me i feel like most everyone has seen them	yeh merey liye ajib haye, mujhe aisaa lagata haye kii jyadatar sabhi ney unhein dekhaa haye	kuch off hein mere liye... kyon ki agar koi kuch aise puche
The premise of this one is not so stupid though. Robot boxers. I feel it could become real at some point.	haalaanki iska aadhar itna murkhtapurna naheen haye. robot mukkebaaz. mujhe lagata haye kii yeh kissy bindu parr vaastavik bunn sakata haye.	iska premise bhi itna stupid bhi nahi hein, robot tho boxers hein... muje tho real ke tarah feel huva us point mein
Rocky? Yeah I know, it was such a big movie.	chattan kaa? haan, mujhe pataa haye, yeh bahut badee film thee.	rocky? haan muje patha hein, kitna big movie hein
But Stallone has never done anything for me.	lekin stallon ney merey liye kabhi kuchh naheen kiya.	but Stallone ne mere liye kuch nahi kiya.
No kidding I don't like any movies of his	koee mazaak naheen, mujhe unaki koee bhee film pasand naheen haye	mujhe uski koi bhi movie pasand nahi hai
This Real Steel movie has Hugh Jackman in it. He's not b ad.	iss real steel film mein hyu jackman hain. vaha bee vigyaapan naheen haye.	real steel movie mei Hugh Jackman hai.Vah bura nahi hai.
But I don't mind Hugh Jackman	lekin mujhe hyu jackman seey koee furk naheen padata	but mei Hugh Jackman ko bura nahi manata
Haha we're thinking the same thing	haaha humm bhee yahee soch rahey hain	hahaha ham sab ek hee baat ke bare mei soch rahe hai
Exactly. He looks like he has quite a few more IQ points than  Sylvester.	bilkul. aisaa lagata haye kii usake paas sylvester kii tulana mein kuchh adhik iq ank hain.	rahi hai. vo dikha raha hai ki vah shaant hai kuch IQ points mei s=Sylvester
And he's better looking haha	aur vaha behtar dikh rhaa haye haaha	par vash achcha dikha raha hai
